,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
246,2017-03-24,100.0,3274.2,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
247,2017-03-24,99.95,44286.62,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
248,2017-03-24,99.9,196981.17,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
249,2017-03-25,99.9,206374.17,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
250,2017-03-25,100.0,1569.04,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
251,2017-03-25,99.95,41651.74,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
252,2017-03-26,99.85,39893.74,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
253,2017-03-26,100.0,2007.5,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
254,2017-03-26,99.9,207048.85,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
255,2017-03-27,99.9,230208.11,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
256,2017-03-27,99.85,45557.26,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
257,2017-03-27,99.9,4159.06,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
258,2017-03-28,99.85,44120.16,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
259,2017-03-28,100.0,4329.78,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
260,2017-03-28,99.9,204534.76,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
261,2017-03-29,99.85,172437.96,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
262,2017-03-29,99.55,40710.4,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
263,2017-03-29,99.5,4085.86,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
264,2017-03-30,99.9,44636.77,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
265,2017-03-30,99.95,4132.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
266,2017-03-30,99.95,199577.48,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
267,2017-03-31,99.95,231570.6,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
268,2017-03-31,99.9,47895.41,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
269,2017-03-31,99.9,3356.42,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
270,2017-04-01,99.9,41256.95,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
271,2017-04-01,100.0,1428.96,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
272,2017-04-01,99.95,198253.72,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
273,2017-04-02,99.85,198607.34,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
274,2017-04-02,99.75,40850.93,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
275,2017-04-02,100.0,1857.2,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
276,2017-04-03,100.0,3888.1,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
277,2017-04-03,99.9,41995.51,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
278,2017-04-03,99.9,188877.74,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
279,2017-04-04,99.9,162438.28,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
280,2017-04-04,99.9,39232.39,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
281,2017-04-04,99.9,3710.68,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
282,2017-04-05,99.9,38197.66,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
283,2017-04-05,100.0,3509.3,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
284,2017-04-05,99.9,154034.34,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
